#R(kpc) median 16percentile 84percentile lowparam highparam  
0.000e+00 14.24 13.76 14.59 6.60 8.60 1249
1.071e+01 14.17 13.71 14.48 6.60 8.60 1249
2.143e+01 14.08 13.55 14.39 6.60 8.60 1249
3.214e+01 13.96 13.44 14.30 6.60 8.60 1249
4.286e+01 13.87 13.35 14.21 6.60 8.60 1249
5.357e+01 13.79 13.23 14.14 6.60 8.60 1249
6.429e+01 13.73 13.14 14.08 6.60 8.60 1249
7.500e+01 13.67 13.07 14.02 6.60 8.60 1249
8.571e+01 13.60 12.98 13.98 6.60 8.60 1249
9.643e+01 13.56 12.90 13.94 6.60 8.60 1249
1.071e+02 13.52 12.84 13.91 6.60 8.60 1249
1.179e+02 13.47 12.76 13.87 6.60 8.60 1249
1.286e+02 13.42 12.73 13.84 6.60 8.60 1249
1.393e+02 13.38 12.61 13.82 6.60 8.60 1249
1.500e+02 13.35 12.57 13.80 6.60 8.60 1249
