#R(kpc) median 16percentile 84percentile lowparam highparam  
0.000e+00 14.24 13.80 14.59 7.10 7.60
1.071e+01 14.19 13.76 14.50 7.10 7.60
2.143e+01 14.10 13.62 14.42 7.10 7.60
3.214e+01 13.98 13.50 14.30 7.10 7.60
4.286e+01 13.87 13.40 14.21 7.10 7.60
5.357e+01 13.78 13.30 14.14 7.10 7.60
6.429e+01 13.71 13.18 14.08 7.10 7.60
7.500e+01 13.63 13.05 14.04 7.10 7.60
8.571e+01 13.57 12.94 14.00 7.10 7.60
9.643e+01 13.55 12.87 13.98 7.10 7.60
1.071e+02 13.50 12.82 13.92 7.10 7.60
1.179e+02 13.46 12.76 13.88 7.10 7.60
1.286e+02 13.41 12.71 13.86 7.10 7.60
1.393e+02 13.38 12.58 13.84 7.10 7.60
1.500e+02 13.34 12.48 13.80 7.10 7.60
