#R(kpc) median 16percentile 84percentile lowparam highparam  
0.000e+00 14.21 13.71 14.54 5.60 6.10
1.071e+01 14.11 13.84 14.42 5.60 6.10
2.143e+01 14.00 13.65 14.28 5.60 6.10
3.214e+01 13.75 13.10 14.12 5.60 6.10
4.286e+01 13.61 12.41 13.97 5.60 6.10
5.357e+01 13.58 12.20 13.94 5.60 6.10
6.429e+01 13.53 12.13 13.92 5.60 6.10
7.500e+01 13.51 12.29 13.89 5.60 6.10
8.571e+01 13.55 12.64 13.80 5.60 6.10
9.643e+01 13.53 12.49 13.65 5.60 6.10
1.071e+02 13.46 12.30 13.59 5.60 6.10
1.179e+02 13.35 12.07 13.58 5.60 6.10
1.286e+02 13.31 11.83 13.55 5.60 6.10
1.393e+02 13.11 11.86 13.52 5.60 6.10
1.500e+02 13.04 11.82 13.57 5.60 6.10
