#R(kpc) median 16percentile 84percentile lowparam highparam  
0.000e+00 14.13 13.48 14.53 7.60 8.60
1.071e+01 13.98 13.42 14.38 7.60 8.60
2.143e+01 13.90 13.24 14.27 7.60 8.60
3.214e+01 13.79 13.09 14.20 7.60 8.60
4.286e+01 13.73 12.92 14.12 7.60 8.60
5.357e+01 13.66 12.85 14.06 7.60 8.60
6.429e+01 13.64 12.79 14.01 7.60 8.60
7.500e+01 13.56 12.74 13.97 7.60 8.60
8.571e+01 13.49 12.71 13.94 7.60 8.60
9.643e+01 13.44 12.67 13.89 7.60 8.60
1.071e+02 13.39 12.61 13.87 7.60 8.60
1.179e+02 13.36 12.54 13.82 7.60 8.60
1.286e+02 13.32 12.46 13.80 7.60 8.60
1.393e+02 13.28 12.41 13.78 7.60 8.60
1.500e+02 13.26 12.31 13.77 7.60 8.60
