#R(kpc) median 16percentile 84percentile lowparam highparam  
0.000e+00 14.18 13.54 14.63 7.38 9.75  710
1.071e+01 14.06 13.33 14.52 7.38 9.75  710
2.143e+01 13.95 13.19 14.43 7.38 9.75  710
3.214e+01 13.83 12.92 14.36 7.38 9.75  710
4.286e+01 13.79 12.81 14.31 7.38 9.75  710
5.357e+01 13.71 12.66 14.25 7.38 9.75  710
6.429e+01 13.69 12.56 14.21 7.38 9.75  710
7.500e+01 13.67 12.44 14.22 7.38 9.75  710
8.571e+01 13.58 12.26 14.15 7.38 9.75  710
9.643e+01 13.54 12.25 14.14 7.38 9.75  710
1.071e+02 13.47 12.00 14.12 7.38 9.75  710
1.179e+02 13.41 12.01 14.05 7.38 9.75  710
1.286e+02 13.36 11.80 14.08 7.38 9.75  710
1.393e+02 13.35 11.89 14.04 7.38 9.75  710
1.500e+02 13.36 11.80 14.03 7.38 9.75  710
